what O
is O
the O
headcount METRIC
in O
2017 DATE
what O
is O
the O
averageage METRIC
in O
march DATE
tell O
me O
headcount METRIC
in O
newyork LOCATION
in O
2016 DATE
what O
is O
the O
absence METRIC
in O
london LOCATION
in O
last DATE
quarter DATE
show O
me O
headcount METRIC
in O
2019 DATE
in O
arizona LOCATION
show O
me O
head METRIC
count METRIC
in O
new LOCATION
york LOCATION
in O
june DATE
2018 DATE
. O
Time METRIC
utilization METRIC
female METRIC
percentage METRIC
brazil LOCATION
china LOCATION
india LOCATION
. O
show O
retention METRIC
in O
brazil LOCATION
in O
2011 DATE
. O
