Date,Open,High,Low,Close
2018-03-09,3504.75,3514.0,3482.8,3488.62
2018-03-08,3485.37,3510.0,3452.86,3500.07
2018-03-07,3500.79,3504.52,3466.14,3475.16
2018-03-06,3566.05,3573.05,3497.0,3506.91
2018-03-05,3579.12,3579.32,3530.66,3544.63
2018-03-01,3594.74,3606.88,3574.64,3581.08
2018-02-28,3589.14,3602.99,3573.75,3596.55
2018-02-27,3645.16,3652.65,3607.89,3611.54
2018-02-26,3612.49,3643.71,3608.35,3634.8
2018-02-23,3554.76,3596.62,3551.03,3594.16
2018-02-22,3569.66,3569.66,3539.5,3550.99
2018-02-21,3589.67,3594.6,3559.53,3579.92
2018-02-20,3578.43,3598.16,3569.17,3575.11
2018-02-19,3627.18,3628.65,3554.25,3580.67
2018-02-16,3681.07,3694.77,3614.87,3624.78
2018-02-15,3677.55,3703.01,3666.54,3682.22
2018-02-14,3726.95,3734.48,3661.81,3676.21
2018-02-12,3707.4,3721.62,3700.64,3711.16
2018-02-09,3671.22,3692.99,3650.43,3684.74
2018-02-08,3704.47,3738.29,3701.06,3712.43
2018-02-07,3732.33,3749.39,3686.22,3699.9
2018-02-06,3631.26,3718.63,3600.11,3683.5
2018-02-05,3705.79,3758.17,3678.61,3736.13
2018-02-02,3829.58,3829.89,3736.15,3744.46
2018-02-01,3872.03,3898.6,3794.6,3843.86
2018-01-31,3859.4,3875.04,3823.79,3844.23
2018-01-30,3861.76,3875.28,3842.04,3867.65
2018-01-29,3893.17,3912.33,3852.76,3857.39
2018-01-25,3908.73,3916.76,3868.05,3885.25
2018-01-24,3888.95,3901.54,3870.43,3897.79
2018-01-23,3838.38,3887.96,3838.38,3881.53
2018-01-22,3812.81,3826.08,3788.54,3820.91
2018-01-19,3778.3,3806.46,3765.2,3800.88
2018-01-18,3819.31,3830.96,3748.58,3769.67
2018-01-17,3745.13,3806.73,3696.07,3796.21
2018-01-16,3815.16,3822.39,3736.51,3739.23
2018-01-15,3817.39,3843.71,3804.24,3806.93
2018-01-12,3825.22,3834.35,3785.03,3807.25
2018-01-11,3823.39,3824.42,3804.46,3811.9
2018-01-10,3855.93,3857.78,3812.84,3817.5
2018-01-09,3845.22,3861.62,3834.38,3841.17
2018-01-08,3814.29,3840.31,3814.29,3833.13
2018-01-05,3823.21,3829.16,3797.93,3805.98
2018-01-04,3781.48,3812.5,3773.07,3806.8
2018-01-03,3760.02,3775.92,3752.88,3763.61
2018-01-02,3785.83,3788.5,3740.44,3751.92
2018-01-01,3788.57,3793.35,3762.99,3768.63
2017-12-29,3777.6,3787.34,3763.93,3772.25
2017-12-28,3779.05,3791.8,3752.37,3759.57
2017-12-27,3811.23,3822.69,3769.71,3778.23
2017-12-26,3808.97,3825.59,3795.06,3803.91
2017-12-22,3789.06,3808.8,3785.8,3805.35
2017-12-21,3765.5,3786.25,3765.5,3781.42
2017-12-20,3759.77,3779.56,3746.44,3762.81
2017-12-19,3738.68,3752.82,3730.72,3750.08
2017-12-18,3701.42,3739.11,3620.62,3723.82
2017-12-15,3723.22,3733.13,3705.39,3708.9
2017-12-14,3677.71,3696.58,3643.2,3687.13
2017-12-13,3687.65,3706.48,3656.71,3663.81
2017-12-12,3725.47,3726.5,3683.42,3688.35
2017-12-11,3733.17,3742.72,3712.09,3721.29
2017-12-08,3685.22,3717.95,3685.22,3711.18
2017-12-07,3613.42,3681.58,3613.38,3674.58
2017-12-06,3658.49,3659.33,3612.8,3616.39
2017-12-05,3667.3,3668.57,3633.12,3660.6
2017-12-04,3681.29,3691.85,3658.19,3675.25
2017-12-01,3723.87,3736.75,3668.92,3677.43
2017-11-30,3729.49,3733.07,3704.67,3711.99
2017-11-29,3753.92,3760.3,3732.89,3738.94
2017-11-28,3772.47,3774.14,3728.73,3744.71
2017-11-27,3749.27,3768.38,3733.78,3764.67
2017-11-24,3746.35,3756.2,3744.97,3748.85
2017-11-23,3742.34,3757.39,3721.62,3742.5
2017-11-22,3746.25,3751.9,3720.7,3738.85
2017-11-21,3764.34,3768.73,3730.24,3738.41
2017-11-20,3738.74,3759.22,3720.52,3751.84
2017-11-17,3745.45,3764.86,3718.45,3723.21
2017-11-16,3686.8,3714.2,3676.92,3707.41
2017-11-15,3716.89,3718.21,3659.08,3674.2
2017-11-14,3745.39,3752.07,3705.31,3711.3
2017-11-13,3796.67,3800.18,3746.2,3751.81
2017-11-10,3755.55,3804.24,3736.94,3793.45
2017-11-09,3766.35,3790.02,3725.96,3750.32
2017-11-08,3787.69,3791.57,3744.02,3756.53
2017-11-07,3832.17,3849.6,3766.12,3772.59
2017-11-06,3833.32,3840.59,3812.34,3819.88
2017-11-03,3820.89,3836.69,3803.31,3828.31
2017-11-02,3825.1,3826.94,3799.33,3805.34
2017-11-01,3817.08,3838.12,3812.47,3815.67
2017-10-31,3789.96,3803.9,3775.38,3795.97
2017-10-30,3779.63,3805.59,3769.54,3774.11
2017-10-27,3784.73,3799.41,3755.92,3761.57
2017-10-26,3747.0,3785.53,3745.93,3772.24
2017-10-25,3623.63,3740.61,3623.63,3734.97
2017-10-24,3543.79,3575.78,3542.24,3573.52
2017-10-23,3545.03,3568.72,3527.79,3537.37
2017-10-19,3582.87,3583.99,3534.15,3542.66
2017-10-18,3567.44,3574.5,3557.3,3567.23
2017-10-17,3580.59,3599.2,3573.35,3585.2
2017-10-16,3570.7,3595.11,3570.69,3577.07
2017-10-13,3572.13,3580.31,3562.38,3568.14
2017-10-12,3545.74,3569.78,3531.52,3567.24
2017-10-11,3557.25,3568.22,3521.57,3536.33
2017-10-10,3537.34,3552.58,3535.47,3542.56
2017-10-09,3553.08,3564.42,3531.84,3534.34
2017-10-06,3506.25,3552.13,3505.62,3548.65
2017-10-05,3514.85,3525.94,3496.97,3500.45
2017-10-04,3515.92,3526.13,3508.76,3516.36
2017-10-03,3509.35,3521.51,3484.2,3494.12
2017-09-29,3482.8,3507.41,3476.87,3483.19
2017-09-28,3447.41,3475.21,3425.87,3463.76
2017-09-27,3511.53,3517.47,3431.92,3442.82
2017-09-26,3492.01,3511.11,3476.02,3496.51
2017-09-25,3522.28,3526.29,3457.44,3485.24
2017-09-22,3586.45,3586.45,3511.7,3519.45
2017-09-21,3623.32,3630.94,3566.75,3593.11
2017-09-20,3621.95,3631.34,3612.76,3618.76
2017-09-19,3623.92,3624.13,3593.75,3610.8
