DATE,Future Index Long FII,Future Index Short FII,Option Index Call Long FII,Option Index Put Long FII,Option Index Call Short FII,Option Index Put Short FII,Future Index Long PRO,Future Index Short PRO,Option Index Call Long PRO,Option Index Put Long PRO,Option Index Call Short PRO,Option Index Put Short PRO,Future Index Long CLIENTS,Future Index Short CLIENTS,Option Index Call Long CLIENTS,Option Index Put Long CLIENTS,Option Index Call Short CLIENTS,Option Index Put Short CLIENTS,ACTUAL
23-02-2018,69441.00,79021.00,183383.00,264919.00,86845.00,111480.00,20632.00,18905.00,139394.00,152384.00,203732.00,181494.00,222689.00,178454.00,375805.00,581393.00,468931.00,771058.00,BULLISH
26-02-2018,82284.00,79312.00,188695.00,281843.00,88012.00,117379.00,20479.00,18829.00,133212.00,151958.00,209666.00,211901.00,221968.00,189077.00,412362.00,655109.00,497517.00,826298.00,BULLISH
27-02-2018,90876.00,79274.00,193113.00,293639.00,88885.00,121054.00,21397.00,22438.00,131698.00,165524.00,241660.00,209898.00,221750.00,193131.00,500391.00,639892.00,555584.00,836871.00,BEARISH
28-02-2018,87879.00,80942.00,200697.00,305923.00,88054.00,127073.00,21340.00,25420.00,132226.00,174034.00,268331.00,216171.00,228097.00,193438.00,570581.00,648818.00,608046.00,854949.00,BULLISH
01-03-2018,82864.00,84604.00,208838.00,300873.00,92974.00,126181.00,24174.00,30283.00,125610.00,162588.00,260738.00,175851.00,247887.00,197418.00,501669.00,561607.00,543331.00,795055.00,BEARISH
05-03-2018,77376.00,97787.00,221559.00,314324.00,101847.00,125512.00,24205.00,31754.00,135461.00,170657.00,296488.00,191591.00,259914.00,190073.00,581165.00,584293.00,600776.00,824639.00,BEARISH
06-03-2018,84617.00,100442.00,230580.00,330959.00,114766.00,126235.00,25848.00,37530.00,149901.00,174936.00,344670.00,191452.00,273254.00,202205.00,684823.00,569619.00,666794.00,830995.00,BEARISH
07-03-2018,98122.00,111267.00,225401.00,338544.00,124292.00,127937.00,25951.00,35902.00,177291.00,173512.00,398731.00,198225.00,261660.00,203602.00,789425.00,602929.00,730020.00,863524.00,BEARISH
08-03-2018,106181.00,115830.00,219617.00,339274.00,117915.00,125248.00,20165.00,33721.00,152499.00,148389.00,315510.00,193021.00,252912.00,203676.00,597456.00,575846.00,597073.00,833810.00,BULLISH
09-03-2018,106815.00,113652.00,226599.00,349983.00,129808.00,131111.00,19270.00,36784.00,160863.00,152551.00,329242.00,207200.00,248688.00,211019.00,649240.00,594325.00,638578.00,847649.00,BEARISH
12-03-2018,128228.00,104101.00,240300.00,346421.00,128982.00,143434.00,21218.00,38287.00,188026.00,165885.00,306046.00,270774.00,224242.00,218911.00,576490.00,726217.00,630714.00,911463.00,BULLISH
13-03-2018,129669.00,107921.00,247987.00,347639.00,131682.00,154550.00,23477.00,32331.00,169842.00,168028.00,311968.00,254436.00,214520.00,215240.00,594684.00,722376.00,629789.00,915806.00,BEARISH
14-03-2018,135546.00,116962.00,247590.00,353041.00,133640.00,153671.00,25478.00,30711.00,180413.00,179649.00,322014.00,276302.00,217123.00,215951.00,623833.00,771648.00,657108.00,961115.00,BULLISH
15-03-2018,134118.00,124535.00,236695.00,357439.00,131844.00,156459.00,30542.00,27151.00,152911.00,164780.00,307625.00,216604.00,224024.00,216336.00,582131.00,632554.00,593194.00,868845.00,BEARISH
16-03-2018,134390.00,153757.00,229213.00,361514.00,136526.00,144174.00,30194.00,31526.00,166812.00,185079.00,368528.00,214768.00,243041.00,206800.00,703860.00,623446.00,655757.00,899357.00,BEARISH
19-03-2018,136140.00,156996.00,224517.00,397270.00,170257.00,145858.00,30809.00,40269.00,172391.00,199535.00,396746.00,241369.00,240393.00,200125.00,807589.00,626875.00,698420.00,918046.00,BEARISH
20-03-2018,127827.00,166917.00,224927.00,391165.00,172880.00,150072.00,30925.00,42643.00,179050.00,195338.00,401409.00,244930.00,251852.00,193679.00,827635.00,662742.00,718249.00,936378.00,BULLISH
21-03-2018,121809.00,177552.00,230953.00,394004.00,170890.00,156717.00,31140.00,38156.00,175953.00,201401.00,389005.00,251217.00,254483.00,188447.00,817707.00,686969.00,725644.00,951341.00,BULLISH
22-03-2018,126313.00,179976.00,229138.00,389385.00,168344.00,144915.00,29065.00,43755.00,161412.00,184371.00,373915.00,231509.00,265158.00,189795.00,752405.00,640457.00,661622.00,914691.00,BEARISH
23-03-2018,111849.00,190868.00,239863.00,390398.00,178770.00,144596.00,30170.00,41629.00,173299.00,175175.00,402051.00,222944.00,274668.00,182498.00,795503.00,660245.00,688770.00,936180.00,BEARISH
26-03-2018,102365.00,206835.00,241997.00,398704.00,181978.00,141548.00,30355.00,41769.00,194798.00,194309.00,369581.00,289215.00,271613.00,169364.00,721441.00,739217.00,667603.00,979974.00,BULLISH
27-03-2018,108088.00,210127.00,238035.00,405083.00,189197.00,135145.00,25688.00,43793.00,201903.00,206471.00,378870.00,306593.00,281857.00,169938.00,752814.00,756064.00,685611.00,1005737.00,BEARISH
28-03-2018,31607.00,141966.00,144762.00,290971.00,90743.00,101208.00,26699.00,18557.00,108480.00,133975.00,154163.00,141922.00,239304.00,147880.00,378820.00,456129.00,448082.00,718539.00,BEARISH
02-04-2018,31784.00,140254.00,168471.00,304625.00,94593.00,103887.00,24848.00,18277.00,123976.00,148459.00,183093.00,178018.00,240728.00,151025.00,405639.00,532568.00,481326.00,784694.00,BULLISH
